tconst,genres
tt0082481,Terror
tt0082481,Thriller
tt0082484,Adventure
tt0082484,Drama
tt0082495,Terror
tt0082497,Drama
tt0082497,Terror
tt0082497,Thriller
tt0082498,Terror
tt0082498,Mystery
tt0082498,Thriller
tt0082507,Comedy
tt0082507,Ciencia Ficción
tt0082509,Adventure
tt0082509,Animación
tt0082509,Fantasía
tt0082511,Terror
tt0082511,Thriller
tt0082515,Adventure
tt0082516,Acción
tt0082516,Comedy
tt0082516,Crime
tt0082522,Terror
tt0082525,Acción
tt0082525,Comedy
tt0082527,Terror
tt0082527,Thriller
tt0082532,Acción
tt0082532,Drama
tt0082532,War
tt0082533,Terror
tt0082535,Acción
tt0082535,Comedy
tt0082535,Drama
tt0082537,Terror
tt0082537,Thriller
tt0082558,Comedy
tt0082558,Ciencia Ficción
tt0082559,Terror
tt0082559,Ciencia Ficción
tt0082559,Thriller
tt0082567,Comedy
tt0082567,Ciencia Ficción
tt0082580,Terror
tt0082592,Terror
tt0082592,Thriller
tt0082594,Acción
tt0082594,Drama
tt0082596,Fantasía
tt0082596,Romance
tt0082596,Thriller
tt0082611,Acción
tt0082611,Mystery
tt0082612,Acción
tt0082612,Drama
tt0082619,Acción
tt0082619,Adventure
tt0082619,Drama
tt0082620,Drama
tt0082620,Terror
tt0082622,Acción
tt0082622,Drama
tt0082626,Fantasía
tt0082626,Terror
tt0082642,Acción
tt0082642,Adventure
tt0082642,Ciencia Ficción
tt0082644,Acción
tt0082644,Drama
tt0082644,Musical
tt0082648,Acción
tt0082648,Adventure
tt0082648,Drama
tt0082668,Crime
tt0082668,Drama
tt0082668,Ciencia Ficción
tt0082669,Adventure
tt0082669,Terror
tt0082673,Acción
tt0082673,Adventure
tt0082674,Acción
tt0082674,Comedy
tt0082674,Fantasía
tt0082677,Drama
tt0082677,Ciencia Ficción
tt0082677,Thriller
tt0082679,Animación
tt0082679,Comedy
tt0082679,Crime
tt0082685,Acción
tt0082685,Drama
tt0082685,Thriller
tt0082694,Acción
tt0082694,Adventure
tt0082694,Ciencia Ficción
tt0082696,Terror
tt0082696,Thriller
tt0082699,Acción
tt0082699,Fantasía
tt0082699,Terror
tt0082700,Adventure
tt0082700,Terror
tt0082701,Drama
tt0082701,Ciencia Ficción
tt0082733,Ciencia Ficción
tt0082743,Comedy
tt0082743,Fantasía
tt0082743,Romance
tt0082744,Terror
tt0082744,Thriller
tt0082748,Terror
tt0082748,Mystery
tt0082748,Thriller
tt0082762,Comedy
tt0082762,Fantasía
tt0082762,Terror
tt0082763,Comedy
tt0082763,Fantasía
tt0082763,Ciencia Ficción
tt0082769,Adventure
tt0082769,Comedy
tt0082769,Terror
tt0082782,Terror
tt0082782,Mystery
tt0082782,Thriller
tt0082788,Comedy
tt0082788,Fantasía
tt0082788,Ciencia Ficción
tt0082797,Acción
tt0082797,Musical
tt0082797,Romance
tt0082804,Terror
tt0082804,Mystery
tt0082804,Thriller
tt0082806,Terror
tt0082806,Thriller
tt0082812,Terror
tt0082812,Mystery
tt0082812,Thriller
tt0082813,Terror
tt0082813,Mystery
tt0082813,Thriller
tt0082815,Terror
tt0082815,Ciencia Ficción
tt0082817,Acción
tt0082817,Crime
tt0082817,Thriller
tt0082818,Terror
tt0082833,Acción
tt0082833,Drama
tt0082841,Crime
tt0082841,Terror
tt0082841,Mystery
tt0082869,Acción
tt0082869,Crime
tt0082869,Ciencia Ficción
tt0082892,Animación
tt0082892,Comedy
tt0082892,Drama
tt0082910,Terror
tt0082910,Ciencia Ficción
tt0082910,Thriller
tt0082914,Drama
tt0082914,Terror
tt0082924,Acción
tt0082924,Comedy
tt0082924,Fantasía
tt0082927,Adventure
tt0082927,Crime
tt0082927,Drama
tt0082933,Drama
tt0082933,Terror
tt0082935,Acción
tt0082935,Crime
tt0082935,Romance
tt0082936,Acción
tt0082936,Drama
tt0082949,Acción
tt0082949,Crime
tt0082949,Drama
tt0082951,Terror
tt0082951,Mystery
tt0082951,Thriller
tt0082958,Adventure
tt0082958,Crime
tt0082958,Drama
tt0082965,Acción
tt0082965,Adventure
tt0082965,Comedy
tt0082966,Terror
tt0082968,Acción
tt0082968,Adventure
tt0082968,Drama
tt0082971,Adventure
tt0082973,Adventure
tt0082973,Drama
tt0082973,Family
tt0082984,Drama
tt0082984,Fantasía
tt0082984,Thriller
tt0083001,Adventure
tt0083001,Comedy
tt0083001,Thriller
tt0083002,Acción
tt0083002,Drama
tt0083019,Acción
tt0083019,Crime
tt0083019,Drama
tt0083021,Acción
tt0083021,Romance
tt0083027,Adventure
tt0083027,Drama
tt0083027,Family
tt0083031,Terror
tt0083033,Comedy
tt0083033,Fantasía
tt0083033,Terror
tt0083034,Adventure
tt0083034,Terror
tt0083034,Thriller
tt0083053,Animación
tt0083053,Fantasía
tt0083053,Music
tt0083061,Acción
tt0083062,Acción
tt0083064,Acción
tt0083064,Crime
tt0083064,Drama
tt0083072,Acción
tt0083097,Acción
tt0083097,Comedy
tt0083097,Romance
tt0083101,Terror
